company,target_price,entry_price,ltp,percent_increase_if_buy_now
adaniportsspecialeconomiczone,815.5371543298305,611.6528657473729,712.2,14.509569549260103
asianpaints,2911.957653409264,2183.968240056948,3003.9,-3.0607658906999626
bajajauto,3701.7456341110505,2776.309225583288,4196.15,-11.782332993075775
bajajfinance,7746.093666038947,5809.57024952921,6075.8,27.490925738815413
bajajfinserv,13495.38067783084,10121.53550837313,12486.6,8.078906009889325
bhartiairtel,556.6894862454018,417.5171146840513,535.1,4.034663847019577
bharatpetroleumcorporation,571.5076286510221,428.63072148826654,470.05,21.58443328391066
britanniaindustries,4401.11884603531,3300.839134526482,3670.05,19.919860656811473
cipla,896.7686246521373,672.576468489103,957.1,-6.303560270385823
coalindia,142.11244679862654,106.5843350989699,148.75,-4.4622206395788
divislaboratories,4636.741030001017,3477.555772500763,4248.75,9.131886554893015
drreddyslaboratories,5561.141654027708,4170.856240520781,5309.3,4.743405986245034
eichermotors,2170.0826442579246,1627.5619831934434,2720.8,-20.24100837040854
grasimindustries,1627.4737913915724,1220.6053435436793,1506.85,8.005029790063542
hcltechnologies,1138.3725920059323,853.7794440044493,995.65,14.334614774863896
housingdevelopmentfinancecorporation,3812.891485094056,2859.668613820542,2509.2,51.95645963231533
hdfclifeinsurancecompanylimited,nan,nan,725.95,nan
heromotocorp,2710.22781759164,2032.67086319373,2939.2,-7.790289276277897
hindalcoindustries,362.2699865854713,271.7024899391035,375.9,-3.6259679208642357
hindustanunilever,2779.1175595044224,2084.338169628317,2448.65,13.495908337427656
infosys,1448.3234556322857,1086.2425917242142,1574.2,-7.996223120805129
indianoilcorporation,187.3036549472583,140.47774121044372,111.4,68.13613550023186
itc,220.99444437865833,165.74583328399376,205.05,7.77588118929935
jswsteel,706.3814989878153,529.7861242408615,689.5,2.448368236086345
larsentoubro,1499.528111362998,1124.6460835222485,1523.85,-1.5960815458871835
mahindramahindra,773.4534475732319,580.090085679924,794.25,-2.6183887222874573
marutisuzukiindia,5700.53916113939,4275.404370854542,7649.0,-25.47340618199255
ntpc,178.8784502669183,134.1588377001887,116.05,54.139121298507796
oilnaturalgascorporation,143.5605521830173,107.67041413726298,120.9,18.74321934079181
powergridcorporationindia,246.39436159277966,184.79577119458474,230.85,6.733533286887444
relianceindustries,2420.1782449492734,1815.1336837119552,2104.45,15.002886500001125
shreecements,34402.027968837894,25801.52097662842,28729.1,19.746278055483447
sunpharmaceuticalindustries,668.5349759339035,501.40123195042764,672.25,-0.5526253724204501
tataconsumerproducts,758.9989309498263,569.2491982123697,757.6,0.18465297648182527
tatamotors,344.6488019903476,258.48660149276066,339.65,1.4717509172229064
tatasteel,1039.0237086280133,779.26778147101,1165.25,-10.832550214287636
tataconsultancyservices,3514.0912286370444,2635.5684214777834,3380.8,3.942594316050764
techmahindra,951.4130773188717,713.5598079891538,1089.5,-12.674338933559273
titancompany,1650.4415778060336,1237.8311833545251,1753.85,-5.896081317898698
ultratechcement,8310.155785049808,6232.616838787357,6923.0,20.03691730535618
upl,884.5278811840323,663.3959108880242,805.15,9.858769320503296
wipro,190.01102675147007,142.50827006360254,547.5,-65.2947896344347
